table_id_in,table_id_out,notes
reef-life-survey-data-marinegeo-input,reef-life-survey-data-marinegeo-v1,
oyster-2025-deployment-input,oyster-2025-reef-metadata-deployment,
oyster-2025-deployment-input,oyster-2025-rugosity,
seagrass-monitoring-marinegeo,seagrass-cover-monitoring-v1,
seagrass-monitoring-marinegeo,shoot-count-monitoring-v1,
seagrass-monitoring-marinegeo,seagrass-macroinvertebrates-monitoring-v1,
seagrass-monitoring-marinegeo,seagrass-metadata-monitoring-v1,
seagrass-monitoring-marinegeo,seagrass-macrophyte-monitoring-v1,
seagrass-monitoring-marinegeo,seagrass-epifauna-monitoring-v1,
oyster-2025-retrieval-input,oyster-2025-reef-metadata-retrieval,
oyster-2025-retrieval-input,oyster-2025-count,
oyster-2025-retrieval-input,oyster-2025-weight,
oyster-2025-retrieval-input,oyster-2025-mobile-fauna,
oyster-2025-retrieval-input,oyster-2025-sessile-fauna,
oyster-2025-retrieval-input,oyster-2025-oyster-height,
oyster-2025-retrieval-input,oyster-2025-bivalve-height,
